lag,autocorr,strike
94,0.9086415948345697,5300
95,0.9080200451983352,5300
96,0.9077938931822459,5300
97,0.9079961580527306,5300
98,0.9081831998337075,5300
99,0.9078377806379595,5300
100,0.9081724509137011,5300
101,0.9071785103787651,5300
102,0.9063498033201911,5300
103,0.9064028842980402,5300
104,0.9068707752755139,5300
105,0.9068814998854914,5300
106,0.9070470908130885,5300
107,0.9056231361671621,5300
108,0.9057648634984383,5300
109,0.9064595798825271,5300
110,0.905802917314073,5300
111,0.9048544543485424,5300
112,0.9053499732894148,5300
113,0.90519619419728,5300
114,0.9038511966271737,5300
115,0.9055159706766748,5300
116,0.9038427746272256,5300
117,0.9047098762407605,5300
118,0.9036675654076062,5300
119,0.9036330627548016,5300
120,0.9043708327867347,5300
1,0.947473918514404,5400
2,0.9407690825357007,5400
3,0.9363279379967968,5400
4,0.9328831403489081,5400
5,0.9315797217629289,5400
6,0.9300173126859365,5400
7,0.9291867476262935,5400
8,0.9276699599892503,5400
9,0.9264519856475935,5400
10,0.9257852632343803,5400
11,0.9248989905493535,5400
12,0.9239189378339523,5400
13,0.9231999574624418,5400
14,0.9224359815173576,5400
15,0.9210916425490125,5400
16,0.9204031272364435,5400
17,0.9202051538303737,5400
18,0.9186648846159244,5400
19,0.9186073790030431,5400
20,0.9177152982391639,5400
21,0.917322411221706,5400
22,0.9165026950769188,5400
23,0.9152872498456363,5400
24,0.9153185210836347,5400
25,0.9145084423229356,5400
26,0.9142686498944536,5400
27,0.913596726422804,5400
28,0.9132458704173787,5400
29,0.9110376550003176,5400
30,0.9108385387857336,5400
31,0.9104549492893547,5400
32,0.9089840797504153,5400
33,0.9086982575816328,5400
34,0.9079097522053227,5400
35,0.9075690865045474,5400
36,0.90694823215848,5400
37,0.9058752280082909,5400
38,0.9055206185623946,5400
39,0.9045884493338919,5400
40,0.9041368409778731,5400
41,0.9035661611311099,5400
42,0.903905944383012,5400
43,0.9028473352083891,5400
44,0.9022795343306174,5400
45,0.9020841536920212,5400
46,0.9013461767225979,5400
47,0.8997753305920219,5400
48,0.898934331200453,5400
49,0.8984909664411171,5400
50,0.8977673624629937,5400
51,0.8972051505085508,5400
52,0.8963973466291789,5400
53,0.8957399310774732,5400
54,0.8952958100383873,5400
55,0.89513014270941,5400
56,0.8940831119496762,5400
57,0.8937364317629107,5400
58,0.8933997956975396,5400
59,0.8925461445867596,5400
60,0.8923791112915046,5400
61,0.8920551804977012,5400
62,0.8916671977656518,5400
63,0.8908643840579502,5400
64,0.8904362037160309,5400
65,0.8899860532762705,5400
66,0.8896712933475571,5400
67,0.8893275243174379,5400
68,0.8885691489292656,5400
69,0.8883103271411754,5400
70,0.888059211736721,5400
71,0.8869863780147857,5400
72,0.8864661738614149,5400
73,0.8855158215417984,5400
74,0.8852839430726268,5400
75,0.8845464683077162,5400
76,0.8840000330209581,5400
77,0.8830174239199484,5400
78,0.8818886432861175,5400
79,0.8807635193247584,5400
80,0.8800648407533285,5400
81,0.88011153131902,5400
82,0.8793977971901071,5400
83,0.8787428120435404,5400
84,0.8779467184358228,5400
85,0.8775844326934186,5400
86,0.8776048982838701,5400
87,0.8771303975602606,5400
88,0.8768591678642723,5400
89,0.8764725081703988,5400
90,0.8759342649249646,5400
91,0.8740581578908544,5400
92,0.8735054116383851,5400
93,0.872247701136055,5400
94,0.8716480604527796,5400
95,0.8708541784675595,5400
96,0.870646731702618,5400
97,0.8697457696541657,5400
98,0.8687339386568349,5400
99,0.8681164302373495,5400
100,0.8674559621573977,5400
101,0.8665299783790794,5400
102,0.8659185096996356,5400
103,0.8651261586750405,5400
104,0.8644280973529864,5400
105,0.8640788429040376,5400
106,0.8639532325393793,5400
107,0.8626642790274495,5400
108,0.8631599152071914,5400
109,0.862096717783682,5400
110,0.8612115497693537,5400
111,0.8602475172317824,5400
112,0.8594490599817358,5400
113,0.8584457737136993,5400
114,0.8581673562054051,5400
115,0.8580206752942208,5400
116,0.8579757125645879,5400
117,0.856545138385439,5400
118,0.8561407643198392,5400
119,0.8552187866234879,5400
120,0.8550637621005537,5400
